field,domain,numpub
Accounting,Social Sciences,49
Aerospace Engineering,Physical Sciences,43
Aging,Life Sciences,6
Agronomy and Crop Science,Life Sciences,0
Algebra and Number Theory,Physical Sciences,5
Analytical Chemistry,Physical Sciences,1
Anatomy,Health Sciences,1
Anesthesiology and Pain Medicine,Health Sciences,15
Animal Science and Zoology,Life Sciences,0
Anthropology,Social Sciences,13
Applied Mathematics,Physical Sciences,10
Applied Microbiology and Biotechnology,Life Sciences,4
Applied Psychology,Social Sciences,23
Aquatic Science,Life Sciences,1
Archeology,Social Sciences,5
Architecture,Physical Sciences,32
Artificial Intelligence,Physical Sciences,174
Astronomy and Astrophysics,Physical Sciences,190
Atmospheric Science,Physical Sciences,46
"Atomic and Molecular Physics, and Optics",Physical Sciences,60
Automotive Engineering,Physical Sciences,15
Behavioral Neuroscience,Life Sciences,3
Biochemistry,Health Sciences,5
Bioengineering,Physical Sciences,1
Biological Psychiatry,Life Sciences,11
Biomaterials,Physical Sciences,15
Biomedical Engineering,Physical Sciences,157
Biophysics,Life Sciences,21
Biotechnology,Life Sciences,5
Building and Construction,Physical Sciences,14
Business and International Management,Social Sciences,3
Cancer Research,Life Sciences,42
Cardiology and Cardiovascular Medicine,Health Sciences,130
Catalysis,Physical Sciences,4
Cell Biology,Life Sciences,44
Cellular and Molecular Neuroscience,Life Sciences,45
Ceramics and Composites,Physical Sciences,13
Chemical Health and Safety,Physical Sciences,0
Civil and Structural Engineering,Physical Sciences,22
Classics,Social Sciences,12
Clinical Biochemistry,Life Sciences,4
Clinical Psychology,Social Sciences,83
Cognitive Neuroscience,Life Sciences,104
Communication,Social Sciences,15
Complementary and Manual Therapy,Health Sciences,1
Complementary and alternative medicine,Health Sciences,15
Computational Mathematics,Physical Sciences,8
Computational Mechanics,Physical Sciences,17
Computational Theory and Mathematics,Physical Sciences,19
Computer Graphics and Computer-Aided Design,Physical Sciences,1
Computer Networks and Communications,Physical Sciences,43
Computer Science Applications,Physical Sciences,12
Computer Vision and Pattern Recognition,Physical Sciences,42
Condensed Matter Physics,Physical Sciences,9
Conservation,Social Sciences,3
Control and Systems Engineering,Physical Sciences,57
Critical Care and Intensive Care Medicine,Health Sciences,17
Cultural Studies,Social Sciences,7
Demography,Social Sciences,15
Dermatology,Health Sciences,14
Development,Social Sciences,0
Developmental Biology,Life Sciences,6
Developmental Neuroscience,Life Sciences,12
Developmental and Educational Psychology,Social Sciences,38
Discrete Mathematics and Combinatorics,Physical Sciences,2
Earth-Surface Processes,Physical Sciences,2
Ecological Modeling,Physical Sciences,5
Ecology,Physical Sciences,57
"Ecology, Evolution, Behavior and Systematics",Life Sciences,20
Economics and Econometrics,Social Sciences,136
Education,Social Sciences,167
Electrical and Electronic Engineering,Physical Sciences,146
Electrochemistry,Physical Sciences,2
"Electronic, Optical and Magnetic Materials",Physical Sciences,10
Emergency Medical Services,Health Sciences,24
Emergency Medicine,Health Sciences,33
Endocrine and Autonomic Systems,Life Sciences,23
Endocrinology,Life Sciences,21
"Endocrinology, Diabetes and Metabolism",Health Sciences,73
Energy Engineering and Power Technology,Physical Sciences,0
Environmental Chemistry,Physical Sciences,40
Environmental Engineering,Physical Sciences,21
Epidemiology,Health Sciences,174
Equine,Health Sciences,0
